💞 0710 check️,#genre#
沉穩柔和的睡眠音樂,https://www.youtube.com/watch?v=SjkGdCuT8zg
台灣天氣即時監測,https://www.youtube.com/watch?v=ADZTiqEGT8g
台灣日本地震監視,https://www.youtube.com/watch?v=YXSkkqznCK0


基隆,#genre#
碧砂1,https://www.youtube.com/watch?v=-tQr28-BR_0
碧砂2,https://www.youtube.com/watch?v=3C0UbF4ArsU
基隆和平島1,https://www.youtube.com/watch?v=zNjAu5zI_lM
基隆和平島2,https://www.youtube.com/watch?v=-BUxCSRlyU0
外木山,https://www.youtube.com/watch?v=A9pluEagLD4
外木山提防提岸,https://www.youtube.com/watch?v=ADAw2ExcJ5s
潮境海灣1,https://www.youtube.com/watch?v=hBpnJqhr82I
潮境海灣2,https://www.youtube.com/watch?v=jzAxB157yb8
潮境海灣3,https://www.youtube.com/watch?v=pz8ieq97nSk


台北,#genre#
碧山巖,https://www.youtube.com/watch?v=uvwfYzwY8tg
大稻埕碼頭,https://www.youtube.com/watch?v=Ndo_8RuefH4
劍潭山微風平台,https://www.youtube.com/watch?v=34h_Cy_n0Ok
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
大佳河濱公園,https://www.youtube.com/watch?v=fP4ecxfsJos
貓空指南宮,https://www.youtube.com/watch?v=215ahZ_0rTg
陽明書屋,https://www.youtube.com/watch?v=RttyIGHbN_w
台北市河岸,https://www.youtube.com/watch?v=c-fsELxk5aw
擎天崗草原,https://www.youtube.com/watch?v=yF2LAyOvq0Q
遠眺七星山,https://www.youtube.com/watch?v=PvJr2efA6n0
二子坪停車場,https://www.youtube.com/watch?v=d9KuXrPCWYU
小油坑停車場,https://www.youtube.com/watch?v=kKD-ZBLs8-4
冷水坑停車場,https://www.youtube.com/watch?v=GB64WeZZQPQ




新北,#genre#
新北市沙崙1,https://www.youtube.com/watch?v=JtJ91wJh1sE
新北市沙崙2,https://www.youtube.com/watch?v=Dh12nXyWs00
新北福隆1,https://www.youtube.com/watch?v=mhJIyNLc3qU
新北福隆2,https://www.youtube.com/watch?v=Fvdnj1A_Elc
烘爐地,https://www.youtube.com/watch?v=xxMRjVwCQ3o
九份,https://www.youtube.com/watch?v=XSD5ptYisw8
九份老街,https://www.youtube.com/watch?v=RzwHRRUPccU
淡水漁人碼頭,https://www.youtube.com/watch?v=xwAWSh35uuw
淡水渡船頭,https://www.youtube.com/watch?v=9rcEL_yWMk4
八里左岸,https://www.youtube.com/watch?v=di-4DCblWq4
三峽老街1,https://www.youtube.com/watch?v=M24SZJU-uoo
三峽老街2,https://www.youtube.com/watch?v=R_5jhoux3nY
外澳沙灘,https://www.youtube.com/watch?v=UgoT-QTbYvo
福隆海水浴場,https://www.youtube.com/watch?v=wujLMSn89xY
野柳1,https://www.youtube.com/watch?v=GRxh5WM2jrQ
野柳2,https://www.youtube.com/watch?v=wLFGtu3b2Dw
烏來老街與覽勝橋,https://www.youtube.com/watch?v=-nyTOqcRDIQ
碧潭,https://www.youtube.com/watch?v=wwkZSCar87I
綠石槽即時影像,https://www.youtube.com/watch?v=JLCaRPsWPjs
中角灣,https://www.youtube.com/watch?v=3Tp2a46EGUI
國海院-中角灣,https://www.youtube.com/watch?v=Jpg_V7f7rW8
風箏坪,https://www.youtube.com/watch?v=2J-YgcZB7Ac
萬里漁港1,https://www.youtube.com/watch?v=6WGIZQIIAKY
萬里漁港2,https://www.youtube.com/watch?v=of4zT-caP04
福隆海水浴場,https://www.youtube.com/watch?v=mMG7v_fET5A
龍洞1,https://www.youtube.com/watch?v=B3FCnD4ZY_M
龍洞四季灣,https://www.youtube.com/watch?v=Wy0iMxkzM80
鼻頭服務區,https://www.youtube.com/watch?v=MD4Qb1bJFXE
十分瀑布公園,https://www.youtube.com/watch?v=HirBQsQEUeA
白沙灣,https://www.youtube.com/watch?v=6m8PilK7Uu0
內洞國家森林遊樂區,https://www.youtube.com/watch?v=lX2MYEFomK0
大屯自然公園,https://www.youtube.com/watch?v=6ghffcNt3Nw
滿月圓國家森林遊樂區,https://www.youtube.com/watch?v=MkoGY1n-Dew
員山子分洪,https://www.youtube.com/watch?v=JkGKqXOt9Ls
瑞芳蝙蝠洞,https://www.youtube.com/watch?v=U-nh5KGZhLg
福隆海灣,https://www.youtube.com/watch?v=Yhj5qvupJDk
烘爐地,https://www.youtube.com/watch?v=xxMRjVwCQ3o




桃園,#genre#
永安漁港,https://www.youtube.com/watch?v=tD_a03trUvE
大溪老街,https://www.youtube.com/watch?v=XUWjAsajKXg
小烏來寰宇平台,https://www.youtube.com/watch?v=PJWye36lEj4
小烏來天空步道,https://www.youtube.com/watch?v=neaiCec1kec
虎頭山環保公園,https://www.youtube.com/watch?v=tu_gsIkNt-w
虎頭山奧爾森林學堂,https://www.youtube.com/watch?v=yQSmajHyMhU
桃園國際機場,https://www.youtube.com/watch?v=91PfFoqvuUk
桃園機場南北跑道,https://www.youtube.com/watch?v=mxKJHv4257w
桃園機場南跑道,https://www.youtube.com/watch?v=y3_x8el5ZJY
桃園機場北跑道,https://www.youtube.com/watch?v=wWEnxWA7nnY
上巴陵,https://www.youtube.com/watch?v=nV-DKquUjFs
石門水庫,https://www.youtube.com/watch?v=GUCaVR88ZFU
大溪橋,https://www.youtube.com/watch?v=oFJ6gCaBb_Q
角板山梅園,https://www.youtube.com/watch?v=-xT1bZhWLuU
角板山生態池,https://www.youtube.com/watch?v=XEbo8NzMTbQ
角板山思親亭,https://www.youtube.com/watch?v=3Za9y4z_Lzc
三龜戲水觀景平台,https://www.youtube.com/watch?v=5YDXZ1aiR5Y
