🎧 My Music,#genre#




中文,#genre#

浪子回頭,https://www.youtube.com/watch?v=x3bDhtuC5yk
光年之外,https://www.youtube.com/watch?v=T4SimnaiktU
好久不見,https://www.youtube.com/watch?v=5gx4LiFCfUU
少年,https://www.youtube.com/watch?v=dnPTus-2QNQ
美麗的神話,https://www.youtube.com/watch?v=STtHbV9nxKo
渡我不渡她,https://www.youtube.com/watch?v=4VVCQmbOUj4
青花瓷,https://www.youtube.com/watch?v=LIfhQzYR3cE
黄昏,https://www.youtube.com/watch?v=oe0z3dE1xb0
一路生花,https://www.youtube.com/watch?v=hBu2O-_SOms




英文,#genre#

Shivers,https://www.youtube.com/watch?v=TQGkZ5oGmuw
I'll Be Missing You,https://www.youtube.com/watch?v=Ac0g4_irbhU
Live In The Air Tonight,https://www.youtube.com/watch?v=KKbFeAvkiOM
Señorita,https://www.youtube.com/watch?v=Pkh8UtuejGw
DANCE MONKEY,https://www.youtube.com/watch?v=q0hyYWKXF0Q
Ashes,https://www.youtube.com/watch?v=SVKNWpaNOoU
We Don't Talk Anymore,https://www.youtube.com/watch?v=i_yLpCLMaKk
Feel Me,https://www.youtube.com/watch?v=8N_Yro5QeCE





日文,#genre#

極楽浄土,https://www.youtube.com/watch?v=DTRE5uaRRgQ
Electricity,https://www.youtube.com/watch?v=9Ef8ZId58WY
First Love,https://www.youtube.com/watch?v=zWj1afeU--E
紅蓮華,https://www.youtube.com/watch?v=x1FV6IrjZCY
Senbonzakura,https://www.youtube.com/watch?v=K_xTet06SUo
承認欲求,https://www.youtube.com/watch?v=x_BjvhMW9TE




韓文,#genre#

Stay With Me,https://www.youtube.com/watch?v=H6EJt6zHSi4
흔들려 (Confused),https://www.youtube.com/watch?v=R1-BTf3_Mys
반해(Into you),https://www.youtube.com/watch?v=LHT3siAnn4w
Good-night Kiss,https://www.youtube.com/watch?v=HbNqVJdHlr8
나혼자(Alone),https://www.youtube.com/watch?v=E0ZHXVp_wUE
The Boys,https://www.youtube.com/watch?v=6pA_Tou-DPI
Run Away,https://www.youtube.com/watch?v=IIrCrGAX03Y
Give It To Me,https://www.youtube.com/watch?v=p6XLNsJ9YrA
Whiplash,https://www.youtube.com/watch?v=jWQx2f-CErU
FLOWER,https://www.youtube.com/watch?v=YudHcBIxlYw
MONEY,https://www.youtube.com/watch?v=dNCWe_6HAM8



演唱會,#genre#
Phil Collins-2004,https://www.youtube.com/watch?v=cPzrZ-1g-7U&t=3179s
Taylor Swift-1989,https://www.youtube.com/watch?v=P5JLMp08GC0
李宗盛-既然青春留不住-2016,https://www.youtube.com/watch?v=_-03nHxD1OQ
玖壹壹2023BROMAN,https://www.youtube.com/watch?v=ylXDO75Tvwo






